name,time,x,y,z
d0,2021-05-11 10:00:00,23.63999566379729,23.95326337825085,2.68772059734902
d0,2021-05-11 10:10:00,51.22291485682223,13.726501275605722,2.460049206906793
d0,2021-05-11 10:20:00,80.53894065682992,36.17604461148405,2.94953048456633
d0,2021-05-11 10:30:00,80.59076204395433,75.09636129567532,6.387957391569417
d0,2021-05-11 10:40:00,50.63863083460417,87.57597599885604,2.1341790922753185
d0,2021-05-11 10:50:00,28.001859088323517,58.900979523472884,2.6448279570446833
d0,2021-05-11 11:00:00,36.78830411240722,36.883561819027165,2.5093122572896114
d0,2021-05-11 11:10:00,66.04186401289509,40.50940170994566,2.813872933774754
d0,2021-05-11 11:20:00,52.49996734802236,66.7117288616094,2.663754444252086
d0,2021-05-11 11:30:00,40.768541612784624,54.90136075474499,2.3861604130055927
d0,2021-05-11 11:40:00,47.093922024632164,48.19846610031955,2.4421205867097515
